algorithm	alpha	beta	k	q	valid_precision@10	valid_hit@10	valid_mrr@10	valid_ndcg@10	valid_map@10	valid_itemcoverage@10	valid_averagepopularity@10	valid_tailpercentage@10	test_precision@10	test_hit@10	test_mrr@10	test_ndcg@10	test_map@10	test_itemcoverage@10	test_averagepopularity@10	test_tailpercentage@10	embedding_size	epochs	regularization	learning_rate	n_layers	reg_weight	gamma	ii_neighbor_num	initial_weight	lambda	negative_num	negative_weight	w1	w2	w3	w4	drop_ratio	ssl_tau	ssl_weight	eps	layer_cl	temperature
asymuserknn	0.2	0.5	1000.0	6.0	0.065	0.3723	0.1773	0.1039	0.0559	0.1064	65.9172	0.0132	0.1343	0.5544	0.3106	0.1758	0.1081	0.1095	65.0318	0.0144																						
asymuserknn	0.4	0.0	10000.0	5.0	0.0127	0.0963	0.0377	0.0175	0.0075	0.1368	1.9087	0.1849	0.0234	0.1326	0.0444	0.0241	0.0106	0.1389	1.8297	0.1852																						
asymuserknn	0.0	0.4	100.0	7.0	0.0599	0.3487	0.1534	0.0931	0.0489	0.1309	37.4004	0.0473	0.1209	0.4981	0.2608	0.1511	0.0917	0.1334	36.8432	0.0493																						
asymuserknn	0.8	0.8	100.0	7.0	0.0624	0.3585	0.1715	0.0994	0.0546	0.0735	66.6084	0.0004	0.1329	0.5496	0.3044	0.1723	0.1053	0.075	66.0658	0.0007																						
asymuserknn	0.2	0.5	100.0	1.0	0.0683	0.387	0.1753	0.1077	0.058	0.1251	50.4548	0.0174	0.138	0.5506	0.3051	0.1762	0.1082	0.1289	49.9094	0.0188																						
asymuserknn	0.2	1.0	500.0	1.0	0.0504	0.3134	0.1388	0.0802	0.041	0.0348	99.1223	0.0001	0.1055	0.4905	0.2565	0.1397	0.0793	0.0356	98.4623	0.0001																						
asymuserknn	0.6	0.6	200.0	5.0	0.0649	0.3703	0.1811	0.1046	0.0573	0.0999	62.9672	0.0069	0.1389	0.5658	0.3151	0.1802	0.112	0.1022	62.377	0.0075																						
asymuserknn	0.2	0.5	60.0	2.0	0.0656	0.3802	0.1712	0.1043	0.056	0.1417	41.8505	0.0249	0.1334	0.5382	0.2893	0.1684	0.1038	0.1455	41.2733	0.0269																						
asymuserknn	1.0	0.2	10000.0	6.0	0.0178	0.1149	0.0543	0.0307	0.016	0.0837	6.4585	0.411	0.0344	0.1679	0.0907	0.046	0.0252	0.0865	6.2976	0.4102																						
asymuserknn	0.2	0.0	1000.0	5.0	0.014	0.1061	0.0396	0.0189	0.008	0.1233	2.039	0.1601	0.0266	0.1441	0.0488	0.0263	0.011	0.1258	1.949	0.1612																						
asymuserknn	0.4	0.4	100.0	5.0	0.0616	0.3576	0.1628	0.098	0.0525	0.1592	35.4308	0.0356	0.1256	0.5219	0.2679	0.1572	0.0958	0.1623	34.9114	0.038																						
asymuserknn	0.8	0.5	100.0	2.0	0.0605	0.3497	0.1557	0.0948	0.0507	0.1378	35.8893	0.0248	0.1185	0.5076	0.2572	0.1494	0.0905	0.1411	35.4681	0.026																						
asymuserknn	0.2	0.5	500.0	4.0	0.0646	0.3713	0.177	0.1036	0.0558	0.1064	65.7296	0.0132	0.1349	0.5534	0.3107	0.1763	0.1086	0.1096	64.8417	0.0144																						
asymuserknn	0.2	0.6	60.0	4.0	0.0689	0.3988	0.1789	0.1091	0.059	0.1187	52.9231	0.0127	0.1413	0.5668	0.3103	0.1808	0.1119	0.1215	52.2973	0.0138																						
asymuserknn	0.5	0.6	60.0	4.0	0.0682	0.388	0.1782	0.1084	0.0588	0.1278	46.6963	0.0089	0.1383	0.5573	0.2997	0.1747	0.1078	0.13	46.1472	0.0098																						
als	2.5				0.0522	0.3173	0.1443	0.0915	0.0519	0.1082	36.8531	0.0012	0.0249	0.1689	0.067	0.0319	0.0144	0.0596	18.5823	0.0102	1024.0	100.0	0.005																			
als	2.75				0.0705	0.3969	0.1775	0.1126	0.0621	0.1103	38.9716	0.001	0.1361	0.5448	0.2976	0.177	0.1123	0.1151	38.5404	0.0008	192.0	100.0	0.005																			
als	1.5				0.0673	0.4037	0.183	0.1108	0.0607	0.0571	60.0999	0.0	0.1426	0.5487	0.3108	0.1866	0.1177	0.0615	58.7117	0.0	64.0	100.0	0.01																			
als	1.0				0.0452	0.2741	0.1242	0.0795	0.045	0.0714	45.008	0.0	0.0497	0.2777	0.1326	0.0687	0.0373	0.1236	14.8194	0.0098	768.0	100.0	0.005																			
als	1.0				0.0579	0.335	0.1519	0.0932	0.051	0.1024	38.4631	0.002	0.1177	0.5095	0.2685	0.1548	0.0941	0.1053	38.033	0.0013	256.0	100.0	0.015																			
als	1.75				0.0487	0.2898	0.1319	0.0835	0.0466	0.0931	39.9495	0.0001	0.0486	0.2586	0.1319	0.0682	0.0381	0.13	13.7531	0.0135	768.0	100.0	0.005																			
als	0.75				0.0642	0.3654	0.1762	0.1059	0.0587	0.068	55.1983	0.0	0.1275	0.5153	0.2797	0.1664	0.1051	0.0738	53.4218	0.0003	128.0	100.0	0.1																			
als	0.5				0.0439	0.2633	0.1166	0.0769	0.0432	0.0573	52.7379	0.0	0.0107	0.083	0.032	0.0147	0.0064	0.0291	18.1405	0.0122	1024.0	100.0	0.01																			
als	1.0				0.0647	0.3664	0.1814	0.1079	0.0604	0.0693	53.8748	0.0	0.1332	0.5391	0.2823	0.1711	0.1071	0.0753	52.4507	0.0	128.0	100.0	0.015																			
als	0.25				0.0496	0.2859	0.1372	0.0863	0.0504	0.0353	67.6932	0.0	0.0663	0.3779	0.192	0.0925	0.048	0.1044	28.0953	0.0012	512.0	100.0	0.08																			
als	2.75				0.0537	0.2957	0.1418	0.0911	0.0526	0.0812	44.748	0.0	0.0862	0.4017	0.2112	0.116	0.0693	0.1861	17.8159	0.0188	512.0	100.0	0.005																			
als	1.75				0.0486	0.2868	0.1287	0.0828	0.0463	0.0937	40.1243	0.0001	0.0508	0.2605	0.1353	0.0707	0.04	0.1297	14.0645	0.0124	768.0	100.0	0.08																			
als	1.0				0.0455	0.2741	0.1232	0.081	0.0457	0.0792	43.1182	0.0	0.0726	0.3836	0.1806	0.0883	0.0442	0.1267	18.991	0.0048	1024.0	100.0	0.1																			
als	0.25				0.0551	0.3281	0.153	0.0917	0.0502	0.0578	56.0231	0.0	0.1061	0.4504	0.235	0.1367	0.0829	0.0767	49.9916	0.0	128.0	100.0	0.015																			
als	0.5				0.0526	0.3232	0.1419	0.0868	0.0471	0.0906	41.865	0.0002	0.1026	0.4609	0.2317	0.1333	0.079	0.0916	41.9121	0.0004	256.0	100.0	0.1																			
als	2.5				0.0698	0.3919	0.1757	0.1108	0.061	0.1069	39.4917	0.0008	0.1353	0.5439	0.2972	0.1766	0.1122	0.1119	38.9918	0.0008	192.0	100.0	0.01																			
als	1.75				0.0633	0.3635	0.1712	0.1047	0.0579	0.1199	34.3145	0.0033	0.1248	0.5162	0.2861	0.1657	0.1038	0.122	34.0548	0.0034	256.0	100.0	0.005																			
als	1.0				0.0605	0.3477	0.1654	0.0999	0.0552	0.0894	44.5071	0.0002	0.1222	0.5029	0.2778	0.1622	0.1009	0.0922	44.0216	0.0005	192.0	100.0	0.01																			
als	1.0				0.065	0.3684	0.1809	0.1081	0.0603	0.0694	53.7266	0.0	0.1327	0.5296	0.2827	0.1712	0.1076	0.0751	52.4961	0.0001	128.0	100.0	0.1																			
als	2.75				0.0699	0.3929	0.179	0.1124	0.0622	0.1136	38.5133	0.0008	0.1366	0.5506	0.2992	0.1781	0.1131	0.115	38.4554	0.001	192.0	100.0	0.05																			
als	1.25				0.0682	0.3959	0.1851	0.1121	0.0618	0.0659	55.4262	0.0	0.139	0.5439	0.3019	0.1822	0.1154	0.0678	54.7108	0.0001	96.0	100.0	0.05																			
als	2.75				0.0656	0.3861	0.1758	0.1045	0.0559	0.0473	64.2755	0.0	0.1357	0.5525	0.3107	0.1792	0.1111	0.048	63.1843	0.0	32.0	100.0	0.005																			
als	2.25				0.0685	0.389	0.1782	0.1102	0.0609	0.1049	39.9865	0.0007	0.1343	0.5382	0.2963	0.1755	0.1115	0.1093	39.4287	0.0007	192.0	100.0	0.005																			
als	2.0				0.0682	0.391	0.1792	0.1095	0.0604	0.1033	40.5929	0.0008	0.1331	0.5363	0.2944	0.1745	0.111	0.1059	40.1654	0.0007	192.0	100.0	0.005																			
als	2.75				0.0719	0.4018	0.1868	0.1154	0.0633	0.0767	51.2596	0.0001	0.1489	0.563	0.3185	0.1933	0.1223	0.0787	50.8593	0.0002	96.0	100.0	0.08																			
als	0.75				0.0654	0.3733	0.1781	0.1063	0.0581	0.0663	57.9141	0.0	0.1291	0.5115	0.2801	0.1671	0.105	0.0682	57.3478	0.0002	96.0	100.0	0.08																			
als	2.0				0.0721	0.4047	0.1948	0.1182	0.0656	0.0729	52.8354	0.0001	0.1448	0.5582	0.3139	0.1898	0.12	0.0743	52.6196	0.0	96.0	100.0	0.08																			
als	2.0				0.0705	0.4116	0.1879	0.1145	0.0624	0.0613	58.1471	0.0	0.1456	0.5592	0.3149	0.1901	0.1199	0.0634	57.267	0.0	64.0	100.0	0.08																			
als	1.5				0.0626	0.3684	0.1627	0.0988	0.0529	0.0431	66.1092	0.0	0.1303	0.5324	0.2974	0.1718	0.1064	0.0442	65.1972	0.0	32.0	100.0	0.05																			
als	1.25				0.0677	0.39	0.1845	0.1121	0.0625	0.0657	55.491	0.0	0.1385	0.5353	0.3013	0.1814	0.1154	0.0678	54.8727	0.0	96.0	100.0	0.015																			
als	2.25				0.0507	0.3084	0.1406	0.0896	0.0506	0.1088	36.4347	0.0007	0.077	0.4132	0.2018	0.098	0.0499	0.1331	17.9456	0.0018	1024.0	100.0	0.08																			
als	2.5				0.0517	0.2986	0.1332	0.0862	0.0477	0.0966	39.4972	0.0001	0.049	0.2548	0.1299	0.0681	0.0382	0.1324	13.549	0.0139	768.0	100.0	0.01																			
als	2.0				0.0531	0.2917	0.1416	0.0903	0.0525	0.0774	45.775	0.0	0.0865	0.4055	0.2113	0.1163	0.0692	0.1782	18.6847	0.0165	512.0	100.0	0.08																			
als	1.5				0.0693	0.391	0.1953	0.1155	0.0644	0.0674	54.1262	0.0	0.1423	0.5506	0.3105	0.1869	0.1185	0.0694	53.746	0.0	96.0	100.0	0.05																			
als	0.75				0.0555	0.3251	0.1449	0.0881	0.0476	0.0401	72.4857	0.0	0.1189	0.4895	0.2697	0.1562	0.0958	0.0468	71.8107	0.0	32.0	100.0	0.015																			
als	0.25				0.0551	0.3094	0.1419	0.089	0.0499	0.0619	64.4297	0.0	0.1142	0.4552	0.2525	0.1468	0.0919	0.0674	58.5863	0.0	64.0	100.0	0.08																			
als	1.75				0.0479	0.2976	0.136	0.0852	0.0481	0.1034	37.7028	0.0008	0.0371	0.2481	0.1007	0.0471	0.0214	0.0945	17.2427	0.0047	1024.0	100.0	0.015																			
als	1.25				0.0685	0.3978	0.1853	0.1124	0.0619	0.0659	55.3724	0.0	0.1395	0.5439	0.3035	0.1827	0.1156	0.0679	54.6661	0.0001	96.0	100.0	0.08																			
als	2.25				0.0696	0.3841	0.1908	0.1152	0.0648	0.0863	47.4553	0.0004	0.1425	0.5468	0.3065	0.185	0.1169	0.0883	47.2527	0.0004	128.0	100.0	0.1																			
als	2.0				0.072	0.4018	0.1953	0.1181	0.0656	0.0727	52.8388	0.0001	0.1447	0.5544	0.3128	0.1897	0.1203	0.0744	52.6037	0.0002	96.0	100.0	0.05																			
als	1.5				0.0607	0.3517	0.1691	0.1011	0.0562	0.1144	35.5834	0.0029	0.1225	0.5115	0.2796	0.1623	0.1012	0.116	35.1314	0.0027	256.0	100.0	0.01																			
als	0.5				0.049	0.2721	0.1244	0.0831	0.048	0.042	60.388	0.0	0.0706	0.3903	0.199	0.0985	0.0529	0.1195	27.2319	0.0034	512.0	100.0	0.08																			
als	0.25				0.0446	0.2623	0.1198	0.0766	0.0432	0.0425	61.6799	0.0	0.0173	0.1307	0.0525	0.0232	0.0098	0.0477	19.216	0.0125	1024.0	100.0	0.015																			
als	0.75				0.0561	0.332	0.1428	0.0877	0.0468	0.0422	72.1977	0.0	0.1188	0.4895	0.2699	0.1562	0.0958	0.047	71.8389	0.0	32.0	100.0	0.1																			
als	2.0				0.0499	0.2947	0.1354	0.0852	0.0474	0.0968	39.2431	0.0003	0.0514	0.2643	0.1363	0.0713	0.0404	0.1314	13.8778	0.0125	768.0	100.0	0.08																			
als	1.0				0.0649	0.3684	0.1816	0.1084	0.0607	0.0691	53.8557	0.0	0.1332	0.5372	0.2833	0.1713	0.1072	0.0751	52.5091	0.0	128.0	100.0	0.05																			
als	1.75				0.0711	0.3929	0.1962	0.1174	0.0654	0.0715	53.5526	0.0	0.1442	0.5534	0.3145	0.1893	0.1204	0.0724	52.9699	0.0001	96.0	100.0	0.08																			
als	2.5				0.0728	0.4116	0.1918	0.1169	0.0638	0.0636	56.8578	0.0	0.1457	0.5544	0.3156	0.1903	0.1205	0.0652	56.1783	0.0	64.0	100.0	0.01																			
als	2.0				0.0729	0.3998	0.1949	0.1187	0.066	0.0731	52.8443	0.0	0.1458	0.5601	0.3147	0.1908	0.121	0.0749	52.3365	0.0002	96.0	100.0	0.005																			
als	1.25				0.0683	0.391	0.1842	0.1118	0.0618	0.0663	55.4111	0.0001	0.1395	0.5477	0.3026	0.1825	0.1155	0.0683	54.5802	0.0002	96.0	100.0	0.005																			
als	2.25				0.0651	0.3841	0.1729	0.1064	0.058	0.1269	33.0904	0.0041	0.1267	0.5305	0.2865	0.1677	0.105	0.1297	32.8082	0.0037	256.0	100.0	0.005																			
als	0.25				0.055	0.3271	0.1519	0.0915	0.05	0.0578	55.917	0.0	0.1053	0.4523	0.2322	0.1353	0.082	0.0762	50.0351	0.0	128.0	100.0	0.005																			
als	0.5				0.0612	0.3556	0.1654	0.1001	0.0555	0.0641	58.4409	0.0	0.1219	0.4952	0.2547	0.1547	0.0952	0.0694	56.923	0.0	96.0	100.0	0.005																			
als	2.0				0.0644	0.3861	0.1691	0.1017	0.0538	0.0448	65.2342	0.0	0.1332	0.5448	0.2983	0.1742	0.1081	0.0452	63.9831	0.0	32.0	100.0	0.005																			
als	1.0				0.0611	0.3507	0.1629	0.1004	0.0558	0.0797	48.1198	0.0003	0.1231	0.5105	0.2754	0.1619	0.1004	0.0914	44.2537	0.0005	192.0	100.0	0.005																			
als	0.75				0.0431	0.2613	0.1161	0.0767	0.0427	0.0694	46.4101	0.0	0.0113	0.0868	0.0337	0.0155	0.0067	0.0278	17.7663	0.0072	1024.0	100.0	0.005																			
als	1.5				0.047	0.2819	0.1284	0.0822	0.0467	0.0883	40.7058	0.0001	0.0488	0.2557	0.1319	0.0681	0.0382	0.1295	14.0113	0.0123	768.0	100.0	0.005																			
als	1.75				0.0522	0.2908	0.1408	0.0892	0.0519	0.0744	46.3586	0.0	0.0855	0.4017	0.2097	0.1147	0.0676	0.1775	18.7775	0.0155	512.0	100.0	0.005																			
als	2.75				0.0718	0.4155	0.1945	0.1174	0.0645	0.0654	56.3366	0.0	0.1476	0.5677	0.3185	0.1927	0.1214	0.0669	55.7639	0.0	64.0	100.0	0.005																			
als	2.5				0.0646	0.3821	0.1739	0.1063	0.058	0.1298	32.6203	0.0042	0.1267	0.5296	0.2885	0.1685	0.1055	0.1326	32.3067	0.0041	256.0	100.0	0.005																			
als	1.25				0.0685	0.3959	0.1848	0.1123	0.0618	0.0658	55.4446	0.0	0.1397	0.5439	0.3042	0.183	0.1158	0.0677	54.6982	0.0	96.0	100.0	0.1																			
als	2.0				0.0678	0.389	0.1775	0.1093	0.0603	0.1032	40.4514	0.0008	0.1331	0.5353	0.2943	0.1746	0.1112	0.1061	40.1468	0.0007	192.0	100.0	0.015																			
als	2.25				0.0732	0.4018	0.1919	0.1184	0.0661	0.0755	52.2862	0.0001	0.1469	0.5649	0.3138	0.1908	0.1207	0.0771	51.8427	0.0002	96.0	100.0	0.005																			
als	0.5				0.0526	0.3084	0.142	0.0845	0.0462	0.0386	74.2207	0.0	0.1115	0.4647	0.2602	0.1474	0.0904	0.0511	72.5367	0.0	32.0	100.0	0.005																			
als	0.25				0.0553	0.3291	0.1577	0.0932	0.0515	0.0592	56.0712	0.0001	0.1061	0.4466	0.2377	0.1373	0.0839	0.0765	49.9238	0.0	128.0	100.0	0.05																			
als	2.0				0.0529	0.2957	0.1399	0.0895	0.0516	0.0769	45.7721	0.0	0.0865	0.4046	0.2102	0.1158	0.0688	0.1799	18.4629	0.0172	512.0	100.0	0.01																			
als	0.75				0.0652	0.3723	0.1792	0.1067	0.0584	0.0661	57.9502	0.0	0.1291	0.5095	0.2774	0.1665	0.1044	0.0682	57.2356	0.0	96.0	100.0	0.015																			
als	2.0				0.0706	0.4116	0.1877	0.1145	0.0624	0.0611	58.1428	0.0	0.1461	0.5592	0.3155	0.1906	0.1201	0.0633	57.3071	0.0	64.0	100.0	0.05																			
als	1.75				0.0715	0.3978	0.1966	0.1176	0.0655	0.0715	53.447	0.0	0.1437	0.5477	0.312	0.1886	0.1201	0.0731	52.968	0.0002	96.0	100.0	0.005																			
als	2.75				0.0658	0.3861	0.1731	0.107	0.0582	0.1324	32.4053	0.0043	0.1278	0.5391	0.2903	0.1696	0.1061	0.135	32.0896	0.0043	256.0	100.0	0.01																			
als	2.5				0.0722	0.3978	0.19	0.1166	0.0646	0.0758	51.7714	0.0001	0.1482	0.5658	0.3136	0.1916	0.121	0.0787	51.3233	0.0002	96.0	100.0	0.1																			
als	1.25				0.0615	0.3635	0.1613	0.0976	0.0527	0.0428	66.6927	0.0	0.1269	0.5181	0.2834	0.1663	0.1029	0.0437	66.039	0.0	32.0	100.0	0.005																			
als	2.25				0.0697	0.387	0.191	0.1154	0.0648	0.0867	47.4098	0.0004	0.1427	0.5496	0.3059	0.1853	0.1171	0.0881	47.2315	0.0005	128.0	100.0	0.015																			
als	0.25				0.0487	0.2711	0.1286	0.0829	0.0482	0.0326	68.5103	0.0	0.0563	0.3378	0.1637	0.0792	0.0405	0.0969	28.5122	0.003	512.0	100.0	0.005																			
als	2.0				0.0496	0.2898	0.1318	0.084	0.0469	0.0958	39.4731	0.0002	0.0489	0.2576	0.1302	0.0682	0.0383	0.1308	13.6282	0.0134	768.0	100.0	0.01																			
als	0.5				0.0449	0.2701	0.1153	0.0772	0.0427	0.0579	52.4611	0.0	0.0108	0.0849	0.0329	0.0148	0.0065	0.0272	18.2026	0.0116	1024.0	100.0	0.005																			
als	1.0				0.0669	0.3861	0.1809	0.1105	0.0613	0.0655	56.4357	0.0	0.1349	0.5315	0.2949	0.1763	0.1115	0.0675	55.6656	0.0	96.0	100.0	0.005																			
als	1.5				0.0675	0.4047	0.1845	0.1115	0.0611	0.0569	60.1084	0.0	0.1427	0.5477	0.3085	0.1865	0.1177	0.0612	58.7205	0.0	64.0	100.0	0.1																			
als	0.75				0.0653	0.3713	0.1796	0.1069	0.0588	0.0662	57.8094	0.0	0.1289	0.5105	0.2782	0.1665	0.1044	0.0683	57.2363	0.0001	96.0	100.0	0.005																			
als	2.0				0.0643	0.3703	0.175	0.1068	0.0592	0.124	33.3062	0.004	0.1276	0.5305	0.2888	0.1682	0.105	0.1265	33.311	0.0039	256.0	100.0	0.015																			
als	1.75				0.0714	0.3978	0.1969	0.1176	0.0652	0.0713	53.4665	0.0	0.1438	0.5506	0.3147	0.1892	0.1204	0.0728	52.9705	0.0	96.0	100.0	0.05																			
als	2.0				0.0644	0.3861	0.1692	0.1017	0.0538	0.0448	65.236	0.0	0.1332	0.5448	0.2982	0.1742	0.1081	0.0452	63.9615	0.0	32.0	100.0	0.01																			
als	2.5				0.0716	0.3969	0.1909	0.1163	0.0645	0.0758	51.8259	0.0001	0.1478	0.5697	0.3154	0.1912	0.1204	0.0784	51.3329	0.0002	96.0	100.0	0.005																			
als	1.25				0.0677	0.3802	0.1826	0.1106	0.0612	0.0755	51.6547	0.0	0.1365	0.541	0.3	0.178	0.1125	0.0783	50.789	0.0001	128.0	100.0	0.005																			
als	2.0				0.0499	0.3055	0.1375	0.0879	0.0498	0.1069	37.0263	0.0008	0.0823	0.4303	0.2067	0.1034	0.0532	0.1334	18.8527	0.0019	1024.0	100.0	0.1																			
als	2.25				0.0538	0.2986	0.1419	0.091	0.0524	0.0792	45.0755	0.0	0.0863	0.4027	0.2102	0.1158	0.069	0.1827	18.1408	0.0179	512.0	100.0	0.005																			
bpr					0.052	0.3438	0.1456	0.0809	0.0393	0.0806	61.5599	0.0004	0.0924	0.4609	0.2211	0.1161	0.0615	0.0886	47.6446	0.0025	192.0	100.0		0.006																		
bpr					0.0471	0.3104	0.1326	0.0724	0.0351	0.0814	61.0801	0.0011	0.083	0.4351	0.1909	0.1028	0.0514	0.0938	48.2844	0.0015	96.0	100.0		0.01																		
bpr					0.0569	0.3517	0.1456	0.0866	0.0435	0.0864	59.6566	0.0005	0.1167	0.499	0.2661	0.1487	0.0864	0.0884	59.4061	0.0005	192.0	100.0		0.0008																		
bpr					0.0584	0.3507	0.1561	0.0921	0.0479	0.0829	60.939	0.0002	0.1206	0.521	0.2808	0.156	0.0897	0.0877	58.4722	0.0004	256.0	100.0		0.0008																		
bpr					0.0364	0.2574	0.1088	0.0561	0.0259	0.0482	92.2499	0.0001	0.0785	0.4294	0.2002	0.102	0.051	0.0488	91.4844	0.0001	64.0	100.0		0.0002																		
bpr					0.0575	0.3487	0.1583	0.0936	0.0498	0.0858	57.1465	0.0003	0.116	0.5153	0.2709	0.1501	0.0862	0.0905	50.4212	0.0006	256.0	100.0		0.002																		
bpr					0.0447	0.2908	0.1243	0.0702	0.0347	0.078	62.3248	0.0011	0.0847	0.4456	0.2024	0.1072	0.0551	0.0973	49.4389	0.0015	64.0	100.0		0.01																		
bpr					0.0493	0.3104	0.1361	0.0788	0.0405	0.1	52.8844	0.0005	0.0959	0.4513	0.233	0.1264	0.0717	0.1071	45.9535	0.001	64.0	100.0		0.004																		
bpr					0.0453	0.3075	0.1278	0.0696	0.0334	0.0775	72.0359	0.0003	0.1006	0.4933	0.2448	0.1289	0.069	0.0792	71.6335	0.0003	64.0	100.0		0.0006																		
bpr					0.0549	0.3418	0.1528	0.0851	0.0422	0.065	77.132	0.0001	0.1182	0.5191	0.283	0.1532	0.0871	0.0673	76.4643	0.0005	768.0	100.0		0.0002																		
bpr					0.0656	0.3821	0.1682	0.1008	0.0521	0.0819	59.7286	0.0004	0.1282	0.5258	0.2897	0.1643	0.0984	0.084	59.476	0.0006	1024.0	100.0		0.0006																		
bpr					0.049	0.3173	0.1386	0.0753	0.0367	0.0713	74.6233	0.0005	0.102	0.4971	0.2553	0.1321	0.0702	0.0726	73.9494	0.0006	128.0	100.0		0.0004																		
bpr					0.0533	0.335	0.1381	0.081	0.0398	0.0902	60.2941	0.0002	0.109	0.4895	0.2503	0.1372	0.0748	0.0916	59.9187	0.0004	96.0	100.0		0.001																		
bpr					0.0657	0.3851	0.1694	0.1002	0.0515	0.0786	64.6812	0.0005	0.1301	0.5382	0.2967	0.1671	0.0993	0.0804	64.5327	0.0007	1024.0	100.0		0.0004																		
bpr					0.0542	0.3428	0.1429	0.0845	0.0421	0.0898	50.9057	0.0009	0.1069	0.5	0.255	0.1376	0.0771	0.0954	45.5148	0.0009	192.0	100.0		0.004																		
bpr					0.0494	0.3163	0.1433	0.0779	0.039	0.0784	52.7302	0.0022	0.0747	0.4036	0.1794	0.0912	0.0447	0.0679	48.8762	0.0024	768.0	100.0		0.008																		
bpr					0.0605	0.3674	0.1654	0.096	0.0499	0.0816	56.6728	0.0008	0.1142	0.521	0.2642	0.1451	0.0803	0.0859	50.7066	0.0013	1024.0	100.0		0.002																		
bpr					0.0546	0.3389	0.1514	0.0866	0.0447	0.0963	51.7586	0.0006	0.1086	0.4847	0.2445	0.1377	0.0784	0.0981	49.9289	0.0007	128.0	100.0		0.002																		
bpr					0.0506	0.335	0.1404	0.0792	0.0392	0.0815	56.3341	0.0002	0.0892	0.4475	0.2222	0.114	0.059	0.0855	46.2406	0.0027	256.0	100.0		0.008																		
bpr					0.0572	0.3556	0.153	0.0883	0.0445	0.0742	65.882	0.0011	0.1007	0.4838	0.2154	0.1193	0.0607	0.0776	55.4085	0.0007	1024.0	100.0		0.004																		
bpr					0.0456	0.2908	0.1224	0.0739	0.0381	0.1012	46.4694	0.0013	0.0875	0.438	0.2097	0.1109	0.0595	0.1055	40.7613	0.0013	64.0	100.0		0.008																		
bpr					0.0489	0.3075	0.13	0.0729	0.0353	0.0789	63.6602	0.0011	0.0863	0.4389	0.1919	0.1052	0.0537	0.0893	49.4753	0.0015	128.0	100.0		0.008																		
bpr					0.0498	0.3153	0.1353	0.077	0.0388	0.0931	62.0455	0.0006	0.1048	0.4876	0.2542	0.1369	0.0763	0.0954	61.8629	0.0006	64.0	100.0		0.001																		
bpr					0.0589	0.3635	0.151	0.0883	0.0435	0.0909	57.7737	0.0006	0.1093	0.4943	0.2675	0.1441	0.0821	0.092	57.3761	0.0005	128.0	100.0		0.001																		
bpr					0.0478	0.3104	0.1358	0.0749	0.0373	0.0855	66.3523	0.0005	0.1033	0.4895	0.2481	0.1336	0.0733	0.0882	65.8664	0.0005	64.0	100.0		0.0008																		
bpr					0.0527	0.3369	0.1429	0.0838	0.0423	0.0939	50.5271	0.0005	0.1016	0.4742	0.2309	0.1277	0.0696	0.0989	47.0848	0.0006	128.0	100.0		0.004																		
bpr					0.0426	0.2888	0.1256	0.0662	0.0318	0.0537	88.987	0.0009	0.0891	0.4656	0.229	0.1149	0.0586	0.0564	88.0165	0.0009	128.0	100.0		0.0002																		
bpr					0.0553	0.3438	0.1477	0.0849	0.0427	0.0714	67.4855	0.0007	0.1001	0.4924	0.2243	0.1228	0.0635	0.0801	54.9121	0.0009	768.0	100.0		0.004																		
bpr					0.0467	0.2986	0.1327	0.0718	0.0348	0.0543	91.9683	0.0005	0.0975	0.4704	0.2419	0.1263	0.0681	0.0554	91.6146	0.0005	512.0	100.0		0.0001																		
bpr					0.0541	0.3369	0.149	0.0833	0.0413	0.0634	79.08	0.0003	0.1132	0.5095	0.2649	0.1448	0.0807	0.0648	78.7335	0.0004	512.0	100.0		0.0002																		
bpr					0.0495	0.334	0.1381	0.0768	0.0366	0.0807	57.7845	0.0004	0.0852	0.4427	0.2043	0.1063	0.0547	0.0859	46.0735	0.0026	192.0	100.0		0.008																		
bpr					0.0587	0.3546	0.1546	0.0908	0.0463	0.0803	60.9451	0.0002	0.1194	0.501	0.2753	0.1538	0.0894	0.0866	57.3165	0.0003	256.0	100.0		0.001																		
bpr					0.0353	0.2426	0.1068	0.0552	0.0264	0.0499	94.2099	0.0	0.0765	0.3884	0.1891	0.097	0.0506	0.0504	93.7308	0.0	96.0	100.0		0.0001																		
bpr					0.0523	0.3438	0.1419	0.081	0.0394	0.0805	60.9508	0.0001	0.0952	0.4628	0.2379	0.1233	0.0668	0.0865	47.6813	0.0016	256.0	100.0		0.006																		
bpr					0.0553	0.3418	0.1491	0.0854	0.0432	0.0767	60.9526	0.0011	0.0912	0.4628	0.2094	0.1113	0.0563	0.0781	50.5622	0.0011	512.0	100.0		0.006																		
bpr					0.0546	0.3418	0.1494	0.0827	0.0401	0.0822	66.5267	0.0006	0.1093	0.501	0.2688	0.1429	0.0794	0.083	65.9863	0.0007	128.0	100.0		0.0006																		
bpr					0.051	0.3232	0.1398	0.0788	0.0399	0.0781	55.2547	0.0017	0.0828	0.4303	0.193	0.1007	0.0501	0.0731	47.2573	0.0011	512.0	100.0		0.008																		
bpr					0.0316	0.2308	0.1041	0.0518	0.0244	0.0459	100.2782	0.0003	0.0652	0.3626	0.1774	0.0857	0.043	0.0467	99.7717	0.0003	32.0	100.0		0.0002																		
